id,text_raw,text_clean
2126,"John beat every guy ... In their prime. Every guy ... By elbow ... By knee ... Boxing ... Submitting ... 
Choking ... Body shots ...
Fact is he is the only guy I've been damn sure I wouldn't want to fight because I cannot see a way to beat him. 
. The Best","john beat every guy   in their prime  every guy   by elbow   by knee   boxing   submitting   
choking   body shots  
fact is he is the only guy i ve been damn sure i wouldn t want to fight because i cannot see a way to beat him  
  the best"
2127,Coward retired.,coward retired
2128,"Jon ""Junkie"" Jones. Lmfao",jon  junkie  jones  lmfao
2129,"Jones making it clear, he wont waste time on Aspinall",jones making it clear  he wont waste time on aspinall
2130,Dude I watched and learn about Chael and his A1 shyt talking just to see him get completely destroyed by Jon😭😭😂,dude i watched and learn about chael and his a1 shyt talking just to see him get completely destroyed by jon😭😭😂
2131,I don’t wanna fight the guy that’s younger & bigger than me😂 this is comedic at this point 🤣🤣,i don t wanna fight the guy that s younger   bigger than me😂 this is comedic at this point 🤣🤣
2132,How can you call this guy the goat is beyond me. There’s atleast 10 guys that showed so much more courage and willingness to fight. It’s call fighting not politics. The dude never took risks apart from the needles in his ass and beating his wife,how can you call this guy the goat is beyond me  there s atleast 10 guys that showed so much more courage and willingness to fight  it s call fighting not politics  the dude never took risks apart from the needles in his ass and beating his wife
2133,That's back when those oblique kicks were new. Those need to be outlawed. My knees hurt after watching that fight.,that s back when those oblique kicks were new  those need to be outlawed  my knees hurt after watching that fight
2134,Let’s all hope that Tom wins his next couple fights as undisputed otherwise it’ll be vindication to Jon for all the ish he was talking,let s all hope that tom wins his next couple fights as undisputed otherwise it ll be vindication to jon for all the ish he was talking
2135,Your wrong Jon is old he waste games to make that money kid,your wrong jon is old he waste games to make that money kid
2136,Trump Dance was pure gold 🤣,trump dance was pure gold 🤣
2137,"What I think is the UFC should start putting its hand in its pocket so he doesn't need to go to the PFL, money talks, let's see Fury Jones in the UFC",what i think is the ufc should start putting its hand in its pocket so he doesn t need to go to the pfl  money talks  let s see fury jones in the ufc
2138,"This made me proud to be a black Christian man , who supports president  Trump .🙏🏽🥊🥊",this made me proud to be a black christian man   who supports president  trump  🙏🏽🥊🥊
2139,Jon didnt get tired cuz of PEDs. Hl,jon didnt get tired cuz of peds  hl
2140,The Jones hate is real,the jones hate is real
